Source	Target	Weight
9606.ENSP00000382972	9606.ENSP00000412566	0.988397
9606.ENSP00000412566	9606.ENSP00000382972	0.988397
9606.ENSP00000420311	9606.ENSP00000464813	0.988390
9606.ENSP00000464813	9606.ENSP00000420311	0.988390
9606.ENSP00000327431	9606.ENSP00000369609	0.988372
9606.ENSP00000369609	9606.ENSP00000327431	0.988372
9606.ENSP00000244534	9606.ENSP00000307705	0.988354
9606.ENSP00000307705	9606.ENSP00000244534	0.988354
9606.ENSP00000341094	9606.ENSP00000482538	0.988350
9606.ENSP00000482538	9606.ENSP00000341094	0.988350
9606.ENSP00000332194	9606.ENSP00000483842	0.988346
9606.ENSP00000483842	9606.ENSP00000332194	0.988346
9606.ENSP00000366679	9606.ENSP00000482538	0.988345
9606.ENSP00000482538	9606.ENSP00000366679	0.988345
9606.ENSP00000289316	9606.ENSP00000477907	0.988343
9606.ENSP00000477907	9606.ENSP00000289316	0.988343
9606.ENSP00000379888	9606.ENSP00000385958	0.988332
9606.ENSP00000385958	9606.ENSP00000379888	0.988332
9606.ENSP00000354610	9606.ENSP00000481450	0.988325
9606.ENSP00000481450	9606.ENSP00000354610	0.988325
9606.ENSP00000382274	9606.ENSP00000477502	0.988316
9606.ENSP00000477502	9606.ENSP00000382274	0.988316
9606.ENSP00000278572	9606.ENSP00000307889	0.988311
9606.ENSP00000307889	9606.ENSP00000278572	0.988311
9606.ENSP00000289316	9606.ENSP00000483237	0.988294
9606.ENSP00000483237	9606.ENSP00000289316	0.988294
9606.ENSP00000358151	9606.ENSP00000482674	0.988291
9606.ENSP00000482674	9606.ENSP00000358151	0.988291
9606.ENSP00000328484	9606.ENSP00000341094	0.988288
9606.ENSP00000341094	9606.ENSP00000328484	0.988288
9606.ENSP00000445831	9606.ENSP00000477907	0.988288
9606.ENSP00000477907	9606.ENSP00000445831	0.988288
9606.ENSP00000403172	9606.ENSP00000447001	0.988285
9606.ENSP00000447001	9606.ENSP00000403172	0.988285
9606.ENSP00000289316	9606.ENSP00000479169	0.988273
9606.ENSP00000479169	9606.ENSP00000289316	0.988273
9606.ENSP00000358151	9606.ENSP00000477527	0.988256
9606.ENSP00000477527	9606.ENSP00000358151	0.988256
9606.ENSP00000445831	9606.ENSP00000479169	0.988250
9606.ENSP00000479169	9606.ENSP00000445831	0.988250
9606.ENSP00000359345	9606.ENSP00000363018	0.988247
9606.ENSP00000363018	9606.ENSP00000359345	0.988247
9606.ENSP00000477527	9606.ENSP00000481622	0.988246
9606.ENSP00000481622	9606.ENSP00000477527	0.988246
9606.ENSP00000328484	9606.ENSP00000482538	0.988240
9606.ENSP00000482538	9606.ENSP00000328484	0.988240
9606.ENSP00000341094	9606.ENSP00000475814	0.988237
9606.ENSP00000475814	9606.ENSP00000341094	0.988237
9606.ENSP00000355656	9606.ENSP00000438553	0.988236
9606.ENSP00000438553	9606.ENSP00000355656	0.988236
9606.ENSP00000289316	9606.ENSP00000349430	0.988228
9606.ENSP00000349430	9606.ENSP00000289316	0.988228
9606.ENSP00000385958	9606.ENSP00000389103	0.988220
9606.ENSP00000389103	9606.ENSP00000385958	0.988220
9606.ENSP00000332194	9606.ENSP00000482538	0.988206
9606.ENSP00000482538	9606.ENSP00000332194	0.988206
9606.ENSP00000476136	9606.ENSP00000477527	0.988202
9606.ENSP00000477527	9606.ENSP00000476136	0.988202
9606.ENSP00000481622	9606.ENSP00000483903	0.988199
9606.ENSP00000483903	9606.ENSP00000481622	0.988199
9606.ENSP00000332194	9606.ENSP00000355656	0.988198
9606.ENSP00000355656	9606.ENSP00000332194	0.988198
9606.ENSP00000366618	9606.ENSP00000477907	0.988195
9606.ENSP00000477907	9606.ENSP00000366618	0.988195
9606.ENSP00000349430	9606.ENSP00000445831	0.988194
9606.ENSP00000445831	9606.ENSP00000349430	0.988194
9606.ENSP00000262584	9606.ENSP00000346001	0.988190
9606.ENSP00000346001	9606.ENSP00000262584	0.988190
9606.ENSP00000474204	9606.ENSP00000474388	0.988190
9606.ENSP00000474388	9606.ENSP00000474204	0.988190
9606.ENSP00000355645	9606.ENSP00000402373	0.988183
9606.ENSP00000402373	9606.ENSP00000355645	0.988183
9606.ENSP00000367022	9606.ENSP00000483842	0.988182
9606.ENSP00000483842	9606.ENSP00000367022	0.988182
9606.ENSP00000332194	9606.ENSP00000475814	0.988179
9606.ENSP00000475814	9606.ENSP00000332194	0.988179
9606.ENSP00000328484	9606.ENSP00000332194	0.988176
9606.ENSP00000332194	9606.ENSP00000328484	0.988176
9606.ENSP00000349430	9606.ENSP00000479169	0.988176
9606.ENSP00000479169	9606.ENSP00000349430	0.988176
9606.ENSP00000309334	9606.ENSP00000447001	0.988175
9606.ENSP00000447001	9606.ENSP00000309334	0.988175
9606.ENSP00000222247	9606.ENSP00000377640	0.988173
9606.ENSP00000377640	9606.ENSP00000222247	0.988173
9606.ENSP00000363676	9606.ENSP00000379888	0.988170
9606.ENSP00000379888	9606.ENSP00000363676	0.988170
9606.ENSP00000328484	9606.ENSP00000438553	0.988167
9606.ENSP00000438553	9606.ENSP00000328484	0.988167
9606.ENSP00000341885	9606.ENSP00000361076	0.988157
9606.ENSP00000361076	9606.ENSP00000341885	0.988157
9606.ENSP00000366679	9606.ENSP00000438553	0.988154
